738054.756531,-6.84,58.56 
738054.756532,-5.35,48.89 
738054.756532,-3.72,42.60 
738054.756533,-2.66,34.18 
738054.756533,-0.95,24.39 
738054.756533,-1.49,12.11 
738054.756534,0.11,3.21 
738054.756534,1.01,-0.95 
738054.756535,0.23,-9.72 
738054.756535,0.49,-9.82 
738054.756536,-1.18,-10.08 
738054.756536,-0.07,-7.64 
738054.756537,2.23,-12.79 
738054.756537,2.98,-7.80 
738054.756537,2.36,-5.59 
738054.756538,1.15,-5.27 
738054.756538,0.03,-3.96 
738054.756538,2.36,-1.83 
738054.756539,2.51,1.99 
738054.75654,2.57,-1.30 
738054.75654,2.93,-4.88 
738054.75654,5.07,-9.77 
738054.756541,3.77,-22.91 
738054.756541,3.23,-29.31 
738054.756541,5.11,-43.25 
738054.756542,5.66,-42.08 
738054.756542,0.34,-50.16 
738054.756543,1.33,-65.55 
738054.756543,3.45,-71.50 
738054.756543,7.24,-78.43 
738054.756544,-142.26,-87.34 
738054.756544,164.45,-83.49 
738054.756545,-179.53,-75.26 
738054.756545,-176.55,-75.75 
738054.756545,-177.69,-74.25 
738054.756546,178.36,-75.92 
738054.756546,173.73,-78.37 
738054.756547,176.26,-81.64 
738054.756547,179.39,-79.24 
738054.756548,167.51,-81.54 
738054.756548,-166.75,-80.19 
738054.756549,174.14,-83.19 
738054.756549,172.40,-83.80 
738054.756549,162.58,-85.62 
738054.75655,93.27,-88.13 
738054.75655,75.71,-88.49 
738054.756551,-32.15,-89.46 
738054.756551,-7.82,-85.94 
738054.756551,-19.23,-85.42 
738054.756552,-0.61,-72.37 
738054.756552,-4.98,-63.68 
738054.756553,-6.17,-58.45 
738054.756553,-6.92,-53.93 
738054.756553,-7.49,-40.01 
738054.756554,-7.31,-38.32 
738054.756554,-2.25,-26.69 
738054.756555,0.94,-15.94 
738054.756555,4.03,-2.28 
738054.756555,4.53,8.05 
738054.756556,4.66,12.94 
738054.756556,3.62,13.40 
738054.756557,1.64,7.91 
738054.756557,1.01,5.15 
738054.756558,1.08,-1.50 
738054.756558,-0.85,-7.28 
738054.756559,-1.32,-11.90 
738054.756559,-1.48,-13.06 
738054.756559,-1.48,-8.71 
738054.75656,-2.06,-6.95 
738054.75656,-0.33,-6.66 
738054.756561,-0.68,-9.16 
738054.756561,-0.65,-4.02 
738054.756561,-1.71,-6.10 
738054.756562,-0.08,-1.55 
738054.756562,0.51,-4.85 
738054.756563,0.10,-3.22 
738054.756563,-0.39,-5.35 
738054.756564,-0.46,-3.81 
738054.756564,-0.07,-9.17 
738054.756564,-2.68,-3.54 
738054.756565,0.77,-1.20 
738054.756565,1.28,2.39 
738054.756566,1.34,3.60 
738054.756566,-0.22,6.76 
738054.756566,-0.40,5.87 
738054.756567,-1.92,6.37 
738054.756568,-2.17,10.53 
738054.756568,-4.43,10.90 
738054.756568,-1.78,14.10 
738054.756568,-1.39,12.74 
738054.756569,0.56,13.05 
738054.756569,1.53,9.75 
738054.75657,-0.77,9.21 
738054.75657,-2.51,4.37 
738054.756571,-3.21,-0.28 
738054.756571,-2.61,-2.59 
738054.756571,-2.16,-5.17 
738054.756572,-0.82,-0.47 
738054.756572,-1.22,-4.55 
738054.756573,-0.23,-3.25 
738054.756573,-0.59,-4.81 
738054.756573,0.97,-3.05 
738054.756574,1.37,-0.37 
738054.756574,-0.03,0.96 
738054.756575,1.63,2.89 
738054.756575,1.09,6.75 
738054.756576,1.82,7.00 
738054.756576,0.54,7.65 
738054.756577,-0.08,7.48 
738054.756577,-0.91,8.17
